architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0002,channels,2,3145728,LL,LL,4,4,0,108,0,16,20,100,0,True,,31.45728,205466,5,179.261436462,179.210243225,179.322872162,179.3846,179.28792,179.40195,0.07767677500001469,0.07639110799999571,0.07907783799998924
a100,c0002,channels,2,4194304,LL,LL,4,4,0,108,0,16,20,100,0,True,,41.943039999999996,205466,5,236.503047943,236.44159317,236.523513794,236.60997,236.51649,236.64853,0.08645620600000825,0.07742202399998632,0.12998638999999912
a100,c0003,channels,2,131072,LL,LL,8,8,0,108,0,16,20,100,0,True,,1.3107199999999999,205466,5,14.4384002686,14.4281601906,14.929920435,14.51539,14.50406,15.05854,0.07589980940000096,0.07423005540000105,0.07698973139999943
a100,c0003,channels,2,262144,LL,LL,8,8,0,108,0,16,20,100,0,True,,2.6214399999999998,205466,5,18.0838394165,18.0633604527,18.5036802292,18.15541,18.14478,18.63674,0.08141954730000123,0.07825040500000213,0.1287803616000005
a100,c0003,channels,2,524288,LL,LL,8,8,0,108,0,16,20,100,0,True,,5.2428799999999995,205466,5,25.9788799286,25.9583997726,26.0403203964,26.05204,26.04221,26.11396,0.0775006172000019,0.07363960360000021,0.08381022740000077
a100,c0003,channels,2,1048576,LL,LL,8,8,0,108,0,16,20,100,0,True,,10.485759999999999,205466,5,42.874879837,42.8441619873,42.9977607727,42.95091,42.92326,43.08278,0.08285816859999784,0.07909801270000116,0.08501922730000189
a100,c0003,channels,2,2097152,LL,LL,8,8,0,108,0,16,20,100,0,True,,20.971519999999998,205466,5,74.6803188324,74.6086406708,74.7929620743,74.75615,74.68702,74.86947,0.07692792570000506,0.07650792570001386,0.07837932920000412
a100,c0003,channels,2,3145728,LL,LL,8,8,0,108,0,16,20,100,0,True,,31.45728,205466,5,105.707521439,105.646076202,105.74848175,105.77706,105.71596,105.82958,0.07722762599999555,0.06988379799999223,0.08109825000001081
a100,c0003,channels,2,4194304,LL,LL,8,8,0,108,0,16,20,100,0,True,,41.943039999999996,205466,5,134.778881073,134.481916428,134.799356461,134.85014,134.56378,134.91234,0.07943799099999183,0.0788692719999915,0.08186357200000316
a100,c0004,channels,2,196608,LL,LL,12,12,0,108,0,16,20,100,0,True,,1.96608,205237;205466,5,15.7900798321,15.7695996761,15.820800066,15.8692,15.84054,15.89165,0.07912016789999932,0.07094032390000038,0.08014985600000024
a100,c0004,channels,2,262144,LL,LL,12,11,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205237;205466,5,17.8483200073,17.8175997734,17.9097604752,17.92126,17.89661,17.98388,0.07627046050000175,0.07411952480000039,0.07901022659999768
a100,c0004,channels,2,524288,LL,LL,12,12,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,25.53855896,25.5180811882,25.5487990379,25.61359,25.60017,25.63173,0.0786205721999984,0.07503103999999894,0.0820888117999985
a100,c0004,channels,2,786432,LL,LL,12,12,0,108,0,16,20,100,0,True,,7.86432,205237;205466,5,32.5119996071,32.3993611336,32.8908801079,32.60468,32.47232,33.01877,0.09268039290000019,0.07365925629999737,0.12788989210000068
a100,c0004,channels,2,1048576,LL,LL,12,12,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,39.3932795525,39.3625593185,39.4239997864,39.4662,39.44226,39.49367,0.07649997969999589,0.07292044750000315,0.07970068150000031
