architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0000,channels,2,16384,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.16383999999999999,205237,1,12.9740798473,12.9740798473,12.9740798473,13.05117,13.05117,13.05117,0.0770901527000003,0.0770901527000003,0.0770901527000003
a100,c0000,channels,2,16384,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.16383999999999999,205466,4,12.395519614249999,11.806719601174999,12.984319925325,12.485475000000001,11.8773775,13.085205,0.07321978975000043,0.07189261467500074,0.08291476282500021
a100,c0000,channels,2,65536,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.6553599999999999,205237,1,19.8143994808,19.8143994808,19.8143994808,19.89106,19.89106,19.89106,0.07666051920000072,0.07666051920000072,0.07666051920000072
a100,c0000,channels,2,65536,LL,LL,1,1,0,108,0,16,20,100,0,True,,0.6553599999999999,205466,4,19.8144000769,19.747840166125002,20.433919727825,19.884945000000002,19.8176625,20.5214725,0.07331015705000077,0.0715975262000006,0.08854281380000018
a100,c0000,channels,2,131072,LL,LL,1,1,0,108,0,16,20,100,0,True,,1.3107199999999999,205237,1,36.0038399696,36.0038399696,36.0038399696,36.07668,36.07668,36.07668,0.07284003040000187,0.07284003040000187,0.07284003040000187
a100,c0000,channels,2,131072,LL,LL,1,1,0,108,0,16,20,100,0,True,,1.3107199999999999,205466,4,36.04992032055,35.174400210425,36.129280328774996,36.124905,35.252497500000004,36.21696,0.07772478275000338,0.07560971745000522,0.09290734665000144
a100,c0000,channels,2,262144,LL,LL,1,1,0,108,0,16,20,100,0,True,,2.6214399999999998,205237,1,64.2560005188,64.2560005188,64.2560005188,64.32826,64.32826,64.32826,0.0722594812000068,0.0722594812000068,0.0722594812000068
a100,c0000,channels,2,262144,LL,LL,1,1,0,108,0,16,20,100,0,True,,2.6214399999999998,205466,4,61.0508799553,57.973759174325,64.084481000925,61.132585000000006,58.051525,64.1689575,0.07936951539999981,0.07876096332500104,0.08114583212500115
a100,c0000,channels,2,524288,LL,LL,1,1,0,108,0,16,20,100,0,True,,5.2428799999999995,205237,1,109.096956253,109.096956253,109.096956253,109.18106,109.18106,109.18106,0.08410374700000034,0.08410374700000034,0.08410374700000034
a100,c0000,channels,2,524288,LL,LL,1,1,0,108,0,16,20,100,0,True,,5.2428799999999995,205466,4,108.96895885500001,108.9151978495,111.843841076,109.04377,108.987175,111.9224025,0.07648038199999974,0.07364638749999841,0.0785614240000001
a100,c0000,channels,2,1048576,LL,LL,1,1,0,108,0,16,20,100,0,True,,10.485759999999999,205237,1,233.584632874,233.584632874,233.584632874,233.74058,233.74058,233.74058,0.15594712600000094,0.15594712600000094,0.15594712600000094
a100,c0000,channels,2,1048576,LL,LL,1,1,0,108,0,16,20,100,0,True,,10.485759999999999,205466,4,214.4255924225,210.839037895,221.806073189,214.50413,210.91958,221.8830225,0.07853757750001478,0.07395978625000765,0.08353162975001283
a100,c0000,channels,2,2097152,LL,LL,1,1,0,108,0,16,20,100,0,True,,20.971519999999998,205237,1,458.526725769,458.526725769,458.526725769,458.61045,458.61045,458.61045,0.08372423100001924,0.08372423100001924,0.08372423100001924
a100,c0000,channels,2,2097152,LL,LL,1,1,0,108,0,16,20,100,0,True,,20.971519999999998,205466,4,436.157436371,413.93151283275,458.329601288,436.23662,414.0101275,458.407935,0.07822571650001464,0.07689684325002588,0.07909362350000038
a100,c0000,channels,2,3145728,LL,LL,1,1,0,108,0,16,20,100,0,True,,31.45728,205237,1,618.987503052,618.987503052,618.987503052,619.06379,619.06379,619.06379,0.07628694800007452,0.07628694800007452,0.07628694800007452
a100,c0000,channels,2,3145728,LL,LL,1,1,0,108,0,16,20,100,0,True,,31.45728,205466,4,684.5337677,682.9824256895,685.107192993,684.61992,683.066675,685.207955,0.08615229999998064,0.0836713709999799,0.10133994649999067
a100,c0000,channels,2,4194304,LL,LL,1,1,0,108,0,16,20,100,0,True,,41.943039999999996,205237,1,822.814712524,822.814712524,822.814712524,822.88668,822.88668,822.88668,0.07196747599994069,0.07196747599994069,0.07196747599994069
a100,c0000,channels,2,4194304,LL,LL,1,1,0,108,0,16,20,100,0,True,,41.943039999999996,205466,4,884.56703186,854.00062561,906.1350440977501,884.644865,854.0780625,906.2137125,0.07783313999999564,0.07636288099999433,0.07974241125000958
a100,c0001,channels,2,32768,LL,LL,2,2,0,108,0,16,20,100,0,True,,0.32767999999999997,205237,3,14.3359994888,14.33087944985,14.346239566800001,14.40868,14.40673,14.422460000000001,0.07902058910000065,0.0758505501500002,0.07939047215000006
a100,c0001,channels,2,32768,LL,LL,2,2,0,108,0,16,20,100,0,True,,0.32767999999999997,205466,2,14.35647964475,14.351359605774999,14.361599683725,14.43433,14.427665,14.440995000000001,0.07785035525000072,0.07630539422500027,0.07939531627500118
