width,protocol,channels,sms,parameter,baseline_ps,perturbed_ps,fractional_parameter_change,normalized_sensitivity
2,LL128,4,4,poll_interval_cycles,1101664,1131664,0.05,0.5446306677898161
2,LL128,4,4,memory_bytes_per_second,1101664,1099474,0.05,-0.03975803874865658
2,LL128,4,4,shared_memory_bytes_per_second,1101664,1101494,0.05,-0.003086240450808958
2,SIMPLE,1,1,kernel_entry_cycles,658560,668560,0.05,0.30369290573372204
2,SIMPLE,1,1,block_setup_cycles,658560,662560,0.05,0.12147716229348883
2,SIMPLE,1,1,warp_issue_cycles,658560,662560,0.25,0.024295432458697766
2,SIMPLE,1,1,barrier_cycles_per_warp,658560,713560,0.5,0.16703109815354714
2,SIMPLE,1,1,publication_cycles,658560,666560,0.05,0.24295432458697766
2,SIMPLE,1,1,poll_issue_cycles,658560,662560,0.25,0.024295432458697766
2,SIMPLE,1,1,poll_interval_cycles,658560,658560,0.05,0.0
2,SIMPLE,1,1,memory_bytes_per_second,658560,657345,0.05,-0.03689868804664723
2,SIMPLE,1,1,shared_memory_bytes_per_second,658560,658560,0.05,0.0
2,SIMPLE,1,4,kernel_entry_cycles,658560,668560,0.05,0.30369290573372204
2,SIMPLE,1,4,block_setup_cycles,658560,662560,0.05,0.12147716229348883
2,SIMPLE,1,4,warp_issue_cycles,658560,662560,0.25,0.024295432458697766
2,SIMPLE,1,4,barrier_cycles_per_warp,658560,713560,0.5,0.16703109815354714
2,SIMPLE,1,4,publication_cycles,658560,666560,0.05,0.24295432458697766
2,SIMPLE,1,4,poll_issue_cycles,658560,662560,0.25,0.024295432458697766
2,SIMPLE,1,4,poll_interval_cycles,658560,658560,0.05,0.0
2,SIMPLE,1,4,memory_bytes_per_second,658560,657345,0.05,-0.03689868804664723
2,SIMPLE,1,4,shared_memory_bytes_per_second,658560,658560,0.05,0.0
2,SIMPLE,4,1,kernel_entry_cycles,1838720,1848720,0.05,0.108771319178559
2,SIMPLE,4,1,block_setup_cycles,1838720,1854720,0.05,0.17403411068569438
2,SIMPLE,4,1,warp_issue_cycles,1838720,1854720,0.25,0.03480682213713888
2,SIMPLE,4,1,barrier_cycles_per_warp,1838720,2098720,0.5,0.2828054298642534
2,SIMPLE,4,1,publication_cycles,1838720,1870720,0.05,0.34806822137138876
2,SIMPLE,4,1,poll_issue_cycles,1838720,1854720,0.25,0.03480682213713888
2,SIMPLE,4,1,poll_interval_cycles,1838720,1838720,0.05,0.0
2,SIMPLE,4,1,memory_bytes_per_second,1838720,1837280,0.05,-0.015663069961712496
2,SIMPLE,4,1,shared_memory_bytes_per_second,1838720,1838720,0.05,0.0
2,SIMPLE,4,4,kernel_entry_cycles,625480,635480,0.05,0.31975442859883607
2,SIMPLE,4,4,block_setup_cycles,625480,629480,0.05,0.12790177143953443
