protocol,count,reuse_delay_ps,reservation,steps,issued_at_ps,oracle_ps
LL128,16,8000000,11,1,8000000,8000000
LL128,16,8000000,12,1,8000000,8000000
LL128,16,8000000,13,1,8000000,8000000
LL128,16,8000000,14,1,8000000,8000000
LL128,16,8000000,15,1,8000000,8000000
LL128,16,8000000,16,1,8000000,8000000
LL128,17,0,1,1,0,0
LL128,17,0,2,1,0,0
LL128,17,0,3,1,0,0
LL128,17,0,4,1,0,0
LL128,17,0,5,1,0,0
LL128,17,0,6,1,0,0
LL128,17,0,7,1,0,0
LL128,17,0,8,1,0,0
LL128,17,0,9,1,0,0
LL128,17,0,10,1,0,0
LL128,17,0,11,1,0,0
LL128,17,0,12,1,0,0
LL128,17,0,13,1,0,0
LL128,17,0,14,1,0,0
LL128,17,0,15,1,0,0
LL128,17,0,16,1,0,0
LL128,17,0,17,1,0,0
LL128,17,500000,1,1,0,0
LL128,17,500000,2,1,0,0
LL128,17,500000,3,1,0,0
LL128,17,500000,4,1,0,0
LL128,17,500000,5,1,0,0
LL128,17,500000,6,1,0,0
LL128,17,500000,7,1,0,0
LL128,17,500000,8,1,0,0
LL128,17,500000,9,1,500000,500000
LL128,17,500000,10,1,500000,500000
LL128,17,500000,11,1,500000,500000
LL128,17,500000,12,1,500000,500000
LL128,17,500000,13,1,500000,500000
LL128,17,500000,14,1,500000,500000
LL128,17,500000,15,1,500000,500000
LL128,17,500000,16,1,500000,500000
LL128,17,500000,17,1,1000000,1000000
LL128,17,2000000,1,1,0,0
LL128,17,2000000,2,1,0,0
LL128,17,2000000,3,1,0,0
LL128,17,2000000,4,1,0,0
LL128,17,2000000,5,1,0,0
LL128,17,2000000,6,1,0,0
LL128,17,2000000,7,1,0,0
LL128,17,2000000,8,1,0,0
LL128,17,2000000,9,1,2000000,2000000
LL128,17,2000000,10,1,2000000,2000000
LL128,17,2000000,11,1,2000000,2000000
LL128,17,2000000,12,1,2000000,2000000
LL128,17,2000000,13,1,2000000,2000000
LL128,17,2000000,14,1,2000000,2000000
LL128,17,2000000,15,1,2000000,2000000
LL128,17,2000000,16,1,2000000,2000000
LL128,17,2000000,17,1,4000000,4000000
LL128,17,8000000,1,1,0,0
LL128,17,8000000,2,1,0,0
LL128,17,8000000,3,1,0,0
LL128,17,8000000,4,1,0,0
LL128,17,8000000,5,1,0,0
LL128,17,8000000,6,1,0,0
LL128,17,8000000,7,1,0,0
LL128,17,8000000,8,1,0,0
LL128,17,8000000,9,1,8000000,8000000
LL128,17,8000000,10,1,8000000,8000000
LL128,17,8000000,11,1,8000000,8000000
LL128,17,8000000,12,1,8000000,8000000
LL128,17,8000000,13,1,8000000,8000000
LL128,17,8000000,14,1,8000000,8000000
LL128,17,8000000,15,1,8000000,8000000
LL128,17,8000000,16,1,8000000,8000000
LL128,17,8000000,17,1,16000000,16000000
SIMPLE,1,0,1,2,0,0
SIMPLE,1,500000,1,2,0,0
SIMPLE,1,2000000,1,2,0,0
SIMPLE,1,8000000,1,2,0,0
SIMPLE,7,0,1,2,0,0
SIMPLE,7,0,2,2,0,0
SIMPLE,7,0,3,2,0,0
SIMPLE,7,0,4,2,0,0
SIMPLE,7,0,5,2,0,0
SIMPLE,7,0,6,2,0,0
SIMPLE,7,0,7,2,0,0
SIMPLE,7,500000,1,2,0,0
SIMPLE,7,500000,2,2,0,0
SIMPLE,7,500000,3,2,0,0
SIMPLE,7,500000,4,2,0,0
SIMPLE,7,500000,5,2,500000,500000
SIMPLE,7,500000,6,2,500000,500000
SIMPLE,7,500000,7,2,500000,500000
SIMPLE,7,2000000,1,2,0,0
SIMPLE,7,2000000,2,2,0,0
SIMPLE,7,2000000,3,2,0,0
SIMPLE,7,2000000,4,2,0,0
SIMPLE,7,2000000,5,2,2000000,2000000
SIMPLE,7,2000000,6,2,2000000,2000000
SIMPLE,7,2000000,7,2,2000000,2000000
SIMPLE,7,8000000,1,2,0,0
SIMPLE,7,8000000,2,2,0,0
SIMPLE,7,8000000,3,2,0,0
SIMPLE,7,8000000,4,2,0,0
SIMPLE,7,8000000,5,2,8000000,8000000
SIMPLE,7,8000000,6,2,8000000,8000000
SIMPLE,7,8000000,7,2,8000000,8000000
SIMPLE,8,0,1,2,0,0
SIMPLE,8,0,2,2,0,0
SIMPLE,8,0,3,2,0,0
SIMPLE,8,0,4,2,0,0
SIMPLE,8,0,5,2,0,0
SIMPLE,8,0,6,2,0,0
SIMPLE,8,0,7,2,0,0
SIMPLE,8,0,8,2,0,0
SIMPLE,8,500000,1,2,0,0
SIMPLE,8,500000,2,2,0,0
SIMPLE,8,500000,3,2,0,0
SIMPLE,8,500000,4,2,0,0
SIMPLE,8,500000,5,2,500000,500000
SIMPLE,8,500000,6,2,500000,500000
SIMPLE,8,500000,7,2,500000,500000
SIMPLE,8,500000,8,2,500000,500000
SIMPLE,8,2000000,1,2,0,0
SIMPLE,8,2000000,2,2,0,0
SIMPLE,8,2000000,3,2,0,0
