width,protocol,channels,sms,payload_bytes,link_rate_multiplier,duration_ps,useful_network_bytes,protocol_data_bytes,counter_bytes,resource_work_wait_ps,input_bytes,output_bytes
2,SIMPLE,1,1,16384,0.5,2157280,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,1,65536,0.5,6826720,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,1,262144,0.5,25519280,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,1,16384,1,1460960,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,1,65536,1,4041440,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,1,262144,1,14378160,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,1,16384,2,1172520,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,1,65536,2,2923560,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,1,262144,2,9930560,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,4,16384,0.5,2157280,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,4,65536,0.5,6826720,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,4,262144,0.5,25519280,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,4,16384,1,1460960,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,4,65536,1,4041440,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,4,262144,1,14378160,524288,524288,144,51079680,524288,524288
2,SIMPLE,1,4,16384,2,1172520,32768,32768,144,3032320,32768,32768
2,SIMPLE,1,4,65536,2,2923560,131072,131072,144,12678400,131072,131072
2,SIMPLE,1,4,262144,2,9930560,524288,524288,144,51079680,524288,524288
2,SIMPLE,4,1,16384,0.5,3359680,32768,32768,576,2483200,32768,32768
2,SIMPLE,4,1,65536,0.5,8029120,131072,131072,576,12129280,131072,131072
2,SIMPLE,4,1,262144,0.5,26706880,524288,524288,576,50713600,524288,524288
2,SIMPLE,4,1,16384,1,2663360,32768,32768,576,2483200,32768,32768
2,SIMPLE,4,1,65536,1,5243840,131072,131072,576,12129280,131072,131072
2,SIMPLE,4,1,262144,1,15565760,524288,524288,576,50713600,524288,524288
2,SIMPLE,4,1,16384,2,2339040,32768,32768,576,2483200,32768,32768
2,SIMPLE,4,1,65536,2,4090080,131072,131072,576,12129280,131072,131072
