bytes_per_sender,messages_per_sender,message_bytes,goodput_gbps,steady_goodput_gbps,steady_window_us,payload_wire_gbps,offered_wire_gbps,wire_fraction_low_pct,wire_fraction_high_pct,makespan_us,offered_packets,rtx_packets,dropped_packets,loss_rate,share_low_pct,share_high_pct,silent_rtos,rto_stall_share_pct,ecn_marked_packets,shared_pool_dropped_packets,bytes_conserved,drops_by_ingress,unreacted_drops_by_ingress,unreacted_drop_split_deviation_pct
1073741824,32,33554432,40.7898,35.9152,286962.945,41.4373,119.0183,41.437,100.0,421180.673,1529792,997120,674841,0.441133,50.0,50.0,103,25.643,0,0,True,1:355302;2:319539,1:133170;2:133168,0.001
1073741824,1,1073741824,47.3296,45.7299,228765.657,48.0809,161.3838,48.081,100.0,362983.385,1787709,1255097,679977,0.380362,50.0,50.0,6,55.464,0,0,True,1:204657;2:475320,1:638;2:637,0.078
4294967296,32,134217728,15.9372,13.9234,4177661.508,16.1902,230.1635,16.19,100.0,4311879.236,30286777,28156281,12883004,0.425367,50.0,50.0,913,22.203,0,0,True,1:8344825;2:4538179,1:532624;2:532624,0.0
4294967296,1,4294967296,76.6298,81.3071,762554.114,77.8462,154.0384,77.846,100.0,896771.842,4215617,2085175,1478892,0.350813,50.0,50.0,10,37.417,0,0,True,1:204657;2:1274235,1:638;2:637,0.078
