size_bytes,degree,nvlink_dispersion_ratio,rnic_dispersion_ratio,tighter_transport,absolute_difference_percentage_points,wider_to_tighter_factor
256,1,0.0,0.0,tie,0.0,
256,2,0.0,0.0,tie,0.0,
256,3,0.08143349188125308,0.3776170536733917,nvlink-credit,29.618356179213862,4.637122207948981
1024,1,1.1595555555555555,1.389767156862745,nvlink-credit,23.021160130718954,1.1985343437873426
1024,2,1.3326745718050066,2.463072043497961,nvlink-credit,113.03974716929545,1.848217183405786
1024,3,0.16982586613459097,0.39129108518264316,nvlink-credit,22.14652190480522,2.304072365940627
4096,1,0.6243550142936798,0.6328702582915883,nvlink-credit,0.8515243997908484,1.0136384649806034
4096,2,0.7086026615969582,0.7485372678707708,nvlink-credit,3.9934606273812623,1.0563568392246976
4096,3,0.31995004439414193,0.4956313307043996,nvlink-credit,17.568128631025765,1.5490897388150957
16384,1,0.11802796246569099,0.11422832039557634,rnic-nn,0.3799642070114642,1.033263572964711
16384,2,0.06315760701790492,0.06122259170906338,rnic-nn,0.1935015308841541,1.0316062299034472
16384,3,0.06805255932535792,0.05252838898108988,rnic-nn,1.5524170344268042,1.2955386724282885
65536,1,0.01903847314587109,0.01866723288049143,rnic-nn,0.03712402653796611,1.0198872681214382
65536,2,0.0264798319382868,0.026688977201422298,nvlink-credit,0.02091452631354969,1.0078982851410434
65536,3,0.015931421776960095,0.018059086549575425,nvlink-credit,0.21276647726153308,1.133551468437823
262144,1,0.006091660929064788,0.006680655844122132,nvlink-credit,0.0588994915057344,1.096688722815662
262144,2,0.00654984584955458,0.006214856182161578,rnic-nn,0.033498966739300196,1.0539014351377138
262144,3,0.00481254424595492,0.004203223823730061,rnic-nn,0.060932042222485924,1.1449650191799996
524288,1,0.0041882896638677615,0.0040407956341514326,rnic-nn,0.014749402971632897,1.036501234675112
524288,2,0.004135465359712158,0.004186939610281227,nvlink-credit,0.00514742505690691,1.0124470273818595
524288,3,0.001911254192509431,0.0018595724642098104,rnic-nn,0.005168172829962052,1.0277922637027117
