cell_id,measured_rank,datasheet_rank,class,verdict,arm,bytes_declared,cell_guard_findings,cell_void,compute_peak_flops_s,datasheet_binding_floor_s,datasheet_bytes_s,datasheet_class,datasheet_compute_fraction,datasheet_diagnostic_below_0.25,datasheet_diagnostic_below_0.5,datasheet_diagnostic_below_0.75,datasheet_flops_s,datasheet_fraction,datasheet_intensity_flops_byte,datasheet_memory_fraction,datasheet_ridge_class,datasheet_ridge_flops_byte,device,device_batch_mean_s,distinct_bytes,distribution_verdict,evidence_class,family,flop_accounting,flops_declared,host_issue_bound,host_loop_mean_s,host_ratio_max,launch_bound,launch_count_in_cell,launch_count_per_step,launch_scale_s,measured_binding_floor_s,measured_bytes_s,measured_class,measured_compute_fraction,measured_diagnostic_below_0.25,measured_diagnostic_below_0.5,measured_diagnostic_below_0.75,measured_flops_s,measured_fraction,measured_intensity_flops_byte,measured_memory_fraction,measured_ridge_class,measured_ridge_flops_byte,memory_mhz,nsys_time_s,physical_floor_s,record_sha256,shape,sm_mhz_high,sm_mhz_low,source_batch_cv,source_file,source_group,source_guard_reasons,source_in_scored_scope,source_state,source_void,source_void_for_scoring,time_s,verdict_void,work_missing_reason,work_state
envelope/gh200/hbm_read_1mib,11,11,launch-bound,launch-screen-excluded,lane-a,1048576,[],False,1070530560000000.0,2.606592847142675e-07,268590169094.3296,launch-bound,0.0,False,False,False,0.0,0.06676723609677516,0.0,0.06676723609677516,HBM-bound,266.11683848797253,gh200,,1048576,,retained-hardware-envelope,hbm_read,source-zero-scalar-work-uninventoried,0,False,,,True,1,,1.304124965e-06,2.7903907177734374e-07,268590169094.3296,launch-bound,0.0,False,False,False,0.0,0.07147517344722894,0.0,0.07147517344722894,HBM-bound,284.8814523426819,2619,,0.0,,"{""k"":0,""length"":0,""m"":0,""n"":0,""rotate"":0,""size_bytes"":1048576}",1980,1980,,examples/gh200_hardware_envelope_v1/measurements/lane_a_result.json,,[],,nonvoid,False,False,3.903999925e-06,False,,declared
envelope/gh200/hbm_write_1mib,12,13,launch-bound,launch-screen-excluded,lane-a,1048576,[],False,1070530560000000.0,2.606592847142675e-07,282482751619.50073,launch-bound,0.0,False,False,False,0.0,0.07022071073651998,0.0,0.07022071073651998,HBM-bound,266.11683848797253,gh200,,1048576,,retained-hardware-envelope,hbm_write,source-zero-scalar-work-uninventoried,0,False,,,True,1,,1.304124965e-06,2.7903907177734374e-07,282482751619.50073,launch-bound,0.0,False,False,False,0.0,0.07517216187001746,0.0,0.07517216187001746,HBM-bound,284.8814523426819,2619,,0.0,,"{""k"":0,""length"":0,""m"":0,""n"":0,""rotate"":0,""size_bytes"":1048576}",1980,1980,,examples/gh200_hardware_envelope_v1/measurements/lane_a_result.json,,[],,nonvoid,False,False,3.712000092e-06,False,,declared
constants/boosted/attn_decode_b16_l512,13,12,HBM-bound,void-with-findings,boosted,16777216,[],False,311869440000000.0,8.227997489014438e-06,138896503002.47263,HBM-bound,0.0008907349370459166,True,True,True,277793006004.94525,0.0681185768805284,2.0,0.0681185768805284,HBM-bound,152.94915254237287,a100,0.00024157866666666666,16777216,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,33554432,False,3.3230833333333333e-06,0.015536983637339056,False,1,,1.8060582199999998e-06,9.3660000703125e-06,138896503002.47263,HBM-bound,0.0008907349370459166,True,True,True,277793006004.94525,0.07753995996042007,2.0,0.07753995996042007,HBM-bound,174.10333138515472,1593,,1.075912792224849e-07,,"{""k"":64,""length"":512,""m"":16,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.007020348609802816,examples/a100_kernel_constants_v1/measurements/results.json,2,"[""G9R"",""G10"",""G11R""]",True,void,True,False,0.00012078933333333333,True,,declared
constants/boosted/attn_decode_b16_l128,14,14,HBM-bound,void-with-findings,boosted,4194304,[],False,311869440000000.0,2.0569993722536095e-06,147051608077.78607,HBM-bound,0.0009430331364162265,True,True,True,294103216155.57214,0.07211805951711889,2.0,0.07211805951711889,HBM-bound,152.94915254237287,a100,0.00022818133333333334,4194304,,retained-standalone-microbenchmark,attn_decode,declared-contractions-only,8388608,False,1.2806250000000001e-05,0.057603990709459464,False,1,,1.8060582199999998e-06,2.341500017578125e-06,147051608077.78607,HBM-bound,0.0009430331364162265,True,True,True,294103216155.57214,0.08209260532832804,2.0,0.08209260532832804,HBM-bound,174.10333138515472,1593,,2.6897819805621224e-08,,"{""k"":64,""length"":128,""m"":16,""n"":16,""rotate"":1,""size_bytes"":0}",1410,1410,0.0024806468140279626,examples/a100_kernel_constants_v1/measurements/results.json,8,"[""G9R"",""G10"",""G11R""]",True,void,True,False,2.8522666666666667e-05,True,,declared
constants/boosted/gemm_G3_m4,15,15,launch-bound,void-with-findings,boosted,1060864,[],False,311869440000000.0,5.202762084118016e-07,148886227544.9102,launch-bound,0.0018874779990845731,False,False,False,588646706586.8263,0.07301780619551856,3.9536679536679538,0.07301780619551856,HBM-bound,152.94915254237287,a100,0.00022801066666666668,1060864,,retained-standalone-microbenchmark,G3:grid,declared-contractions-only,4194304,False,0.00011334749999999999,0.5100251618806306,True,1,,1.8060582199999998e-06,5.922348677272796e-07,148886227544.9102,launch-bound,0.0018874779990845731,False,False,False,588646706586.8263,0.08311679468477913,3.9536679536679538,0.08311679468477913,HBM-bound,174.10333138515472,1593,,1.3448909902810612e-08,,"{""k"":512,""length"":0,""m"":4,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.002800641756567309,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.125333333333334e-06,True,,declared
constants/boosted/moe_expert_down_m4,16,16,launch-bound,void-with-findings,boosted,1060864,[],False,311869440000000.0,5.202762084118016e-07,149053578119.14572,launch-bound,0.0018895995554717045,False,False,False,589308355189.2094,0.07309987941342284,3.9536679536679538,0.07309987941342284,HBM-bound,152.94915254237287,a100,0.00022775466666666668,1060864,,retained-standalone-microbenchmark,expert_down:captured,declared-contractions-only,4194304,False,0.00011358958333333334,0.5176968961148649,True,1,,1.8060582199999998e-06,5.922348677272796e-07,149053578119.14572,launch-bound,0.0018895995554717045,False,False,False,589308355189.2094,0.08321021933223299,3.9536679536679538,0.08321021933223299,HBM-bound,174.10333138515472,1593,,1.3448909902810612e-08,,"{""k"":512,""length"":0,""m"":4,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.0034134258445651026,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.117333333333334e-06,True,,declared
constants/base/moe_expert_down_m54,17,17,launch-bound,void-with-findings,base,1214464,[],False,282009600000000.0,5.956057752667922e-07,149123772102.1611,launch-bound,0.024654262490850957,False,False,False,6952738703339.882,0.07313430442863363,46.62394603709949,0.07313430442863363,HBM-bound,138.3050847457627,a100,0.000130304,1214464,,retained-standalone-microbenchmark,expert_down:captured,declared-contractions-only,56623104,True,8.637533333333333e-05,0.87048828125,True,1,,1.8060582199999998e-06,6.779831593866349e-07,149123772102.1611,launch-bound,0.024654262490850957,False,False,False,6952738703339.882,0.083249405622131,46.62394603709949,0.083249405622131,HBM-bound,157.4338634865761,1593,,2.007843137254902e-07,,"{""k"":512,""length"":0,""m"":54,""n"":1024,""rotate"":1,""size_bytes"":0}",1275,1275,0.05417316793093268,examples/a100_kernel_constants_v1/measurements/results.json,16,"[""G9R"",""G10"",""G11R""]",True,void,True,False,8.144e-06,True,,declared
constants/boosted/moe_expert_down_m7,18,18,launch-bound,void-with-findings,boosted,1070080,[],False,311869440000000.0,5.247959824231011e-07,150687194892.97784,launch-bound,0.0033142497648214284,False,False,False,1033613218174.9906,0.07390104897058314,6.85933014354067,0.07390104897058314,HBM-bound,152.94915254237287,a100,0.00022724266666666667,1070080,,retained-standalone-microbenchmark,expert_down:captured,declared-contractions-only,7340032,False,0.00011322908333333334,0.5067563984728507,True,1,,1.8060582199999998e-06,5.97379765226841e-07,150687194892.97784,launch-bound,0.0033142497648214284,False,False,False,1033613218174.9906,0.08412219750659608,6.85933014354067,0.08412219750659608,HBM-bound,174.10333138515472,1593,,2.353559232991857e-08,,"{""k"":512,""length"":0,""m"":7,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.0028843956995375794,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.1013333333333335e-06,True,,declared
constants/boosted/gemm_G3_m8,19,19,launch-bound,void-with-findings,boosted,1073152,[],False,311869440000000.0,5.263025737602009e-07,150893138357.7053,launch-bound,0.003782033156020982,False,False,False,1179500562429.6963,0.0740020491788809,7.816793893129771,0.0740020491788809,HBM-bound,152.94915254237287,a100,0.000227584,1073152,,retained-standalone-microbenchmark,G3:grid,declared-contractions-only,8388608,False,0.00011330800000000001,0.5298599380630631,True,1,,1.8060582199999998e-06,5.990947310600281e-07,150893138357.7053,launch-bound,0.003782033156020982,False,False,False,1179500562429.6963,0.08423716690945278,7.816793893129771,0.08423716690945278,HBM-bound,174.10333138515472,1593,,2.6897819805621224e-08,,"{""k"":512,""length"":0,""m"":8,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.0026777009480850465,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.112e-06,True,,declared
constants/boosted/moe_expert_down_m11,20,20,launch-bound,void-with-findings,boosted,1082368,[],False,311869440000000.0,5.308223477715003e-07,152303189493.4334,launch-bound,0.005204198250384031,False,False,False,1623030393996.2476,0.074693576140455,10.656575212866604,0.074693576140455,HBM-bound,152.94915254237287,a100,0.00022741333333333333,1082368,,retained-standalone-microbenchmark,expert_down:captured,declared-contractions-only,11534336,False,0.0001129025,0.5036335163288288,True,1,,1.8060582199999998e-06,6.042396285595894e-07,152303189493.4334,launch-bound,0.005204198250384031,False,False,False,1623030393996.2476,0.08502433797742816,10.656575212866604,0.08502433797742816,HBM-bound,174.10333138515472,1593,,3.698450223272918e-08,,"{""k"":512,""length"":0,""m"":11,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.002882231049856876,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.106666666666667e-06,True,,declared
constants/boosted/moe_expert_down_m18,21,21,launch-bound,void-with-findings,boosted,1103872,[],False,311869440000000.0,5.41368487131199e-07,155038202247.191,launch-bound,0.008500013281270752,False,False,False,2650894382022.472,0.07603489987797739,17.098330241187384,0.07603489987797739,HBM-bound,152.94915254237287,a100,0.00022784,1103872,,retained-standalone-microbenchmark,expert_down:captured,declared-contractions-only,18874368,False,0.00011717216666666667,0.5224521396396397,True,1,,1.8060582199999998e-06,6.162443893918991e-07,155038202247.191,launch-bound,0.008500013281270752,False,False,False,2650894382022.472,0.08655117828537909,17.098330241187384,0.08655117828537909,HBM-bound,174.10333138515472,1593,,6.052009456264775e-08,,"{""k"":512,""length"":0,""m"":18,""n"":1024,""rotate"":1,""size_bytes"":0}",1410,1410,0.004677901122395784,examples/a100_kernel_constants_v1/measurements/results.json,32,"[""G9R"",""G10"",""G11R""]",True,void,True,False,7.12e-06,True,,declared
