cell_id,operation,ranks,true_bytes,measured_ps,attempt_0004_prediction_ps,attempt_0004_relative_error,attempt_0005_prediction_ps,attempt_0005_relative_error,arithmetic_prediction_ps,arithmetic_relative_error,final_prediction_ps,final_relative_error,passed,rule
half/reduce_scatter/r2/i00,reduce_scatter,2,512,5260000,5327781,0.012886121673003802,5388715,0.024470532319391634,5276667,0.0031686311787072242,5276667,0.0031686311787072242,True,geometric-symmetric-operation-anchor+paired-training-trough+small-reduction-floor
half/reduce_scatter/r2/i02,reduce_scatter,2,2048,5280000,5344678,0.012249621212121212,5201622,0.014844318181818182,5286667,0.001262689393939394,5286667,0.001262689393939394,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r2/i04,reduce_scatter,2,8192,5570000,5412266,0.028318491921005388,6088898,0.09315942549371634,6050000,0.08617594254937164,6050000,0.08617594254937164,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r2/i06,reduce_scatter,2,32768,6070000,5682618,0.06381911037891269,5581145,0.08053624382207578,5920000,0.02471169686985173,5920000,0.02471169686985173,True,geometric-symmetric-operation-anchor+paired-training-trough
half/reduce_scatter/r2/i08,reduce_scatter,2,131072,6170000,6764027,0.09627666126418152,6507616,0.05471896272285251,6446667,0.04484068071312804,6446522,0.044817179902755265,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i10,reduce_scatter,2,524288,8200000,8266667,0.008130121951219512,8031089,0.02059890243902439,8258334,0.00711390243902439,8258330,0.0071134146341463415,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i12,reduce_scatter,2,2097152,15100000,14606667,0.03267105960264901,17725157,0.17385145695364237,15633334,0.035320132450331124,15609293,0.03372801324503311,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i14,reduce_scatter,2,8388608,31360000,32566746,0.03848042091836735,37094219,0.1828513711734694,34061667,0.0861500956632653,34020785,0.08484646045918368,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i16,reduce_scatter,2,33554432,91690000,87047686,0.050630537681317485,92256072,0.006173759406696477,89160000,0.02759297633329698,89155949,0.02763715781437452,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i18,reduce_scatter,2,134217728,304820000,304971447,0.0004968407584804147,312620810,0.025591529427202938,296265000,0.02806574371760383,296146319,0.028455091529427202,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r2/i20,reduce_scatter,2,536870912,1094320000,1176666489,0.0752490030338475,1105266355,0.010002883068937788,1093415000,0.0008269975875429491,1092236372,0.00190403903794137,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i00,reduce_scatter,4,512,7130000,7416960,0.0402468443197756,6925918,0.028623001402524544,7070000,0.008415147265077139,7070000,0.008415147265077139,True,geometric-symmetric-operation-anchor+paired-training-trough+small-reduction-floor
half/reduce_scatter/r4/i02,reduce_scatter,4,2048,7090000,7423303,0.04701029619181946,7277577,0.026456558533145276,7180000,0.012693935119887164,7180000,0.012693935119887164,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r4/i04,reduce_scatter,4,8192,7260000,7448677,0.025988567493112947,7356606,0.013306611570247933,7440000,0.024793388429752067,7440000,0.024793388429752067,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r4/i06,reduce_scatter,4,32768,8060000,7550170,0.06325434243176178,8832001,0.0957817617866005,8288334,0.028329280397022333,8275466,0.02673275434243176,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i08,reduce_scatter,4,131072,8040000,7956143,0.01042997512437811,8101011,0.007588432835820895,8628334,0.07317587064676617,8619888,0.07212537313432836,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i10,reduce_scatter,4,524288,9800000,9580035,0.022445408163265308,9420295,0.038745408163265306,10200000,0.04081632653061224,10178625,0.03863520408163265,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i12,reduce_scatter,4,2097152,18380000,16075604,0.1253751904243743,20323724,0.10575212187159956,18840000,0.025027203482045703,18839679,0.02500973884657236,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i14,reduce_scatter,4,8388608,39250000,41100000,0.04713375796178344,49855366,0.2702004076433121,42490000,0.08254777070063694,42467258,0.08196835668789809,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i16,reduce_scatter,4,33554432,102190000,90960000,0.10989333594285156,103150821,0.009402299637929348,103595000,0.013748899109501908,103584499,0.01364613954398669,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i18,reduce_scatter,4,134217728,348540000,349936667,0.00400719286165146,357013107,0.024310285763470475,347258334,0.0036772422103632293,347248005,0.00370687725942503,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r4/i20,reduce_scatter,4,536870912,1292600000,1304036667,0.008847800557016866,1269849527,0.017600551601423486,1286253334,0.00491,1286130395,0.0050051098561039765,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i00,reduce_scatter,8,512,11910000,10840795,0.08977371956339211,12438614,0.0443840470193115,11918334,0.0006997481108312343,11918334,0.0006997481108312343,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r8/i02,reduce_scatter,8,2048,10410000,10903321,0.047389145052833814,10954628,0.052317771373679156,11323334,0.08773621517771374,11323334,0.08773621517771374,True,geometric-symmetric-operation-anchor+paired-training-trough+small-reduction-floor
half/reduce_scatter/r8/i04,reduce_scatter,8,8192,12580000,11153426,0.11340015898251192,11141741,0.11432901430842607,11770000,0.0643879173290938,11770000,0.0643879173290938,True,geometric-symmetric-operation-anchor+small-reduction-floor
half/reduce_scatter/r8/i06,reduce_scatter,8,32768,13330000,12153848,0.08823345836459115,14928358,0.11990682670667667,13740000,0.03075768942235559,13624214,0.022071567891972992,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i08,reduce_scatter,8,131072,13390000,16155536,0.20653741598207617,13417999,0.002091038088125467,14256667,0.06472494398805079,14232291,0.06290448095593727,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i10,reduce_scatter,8,524288,12190000,14278781,0.17135200984413454,11287786,0.07401263330598852,13400000,0.0992616899097621,13400000,0.0992616899097621,True,geometric-symmetric-operation-anchor+paired-training-trough
half/reduce_scatter/r8/i12,reduce_scatter,8,2097152,21260000,20873053,0.018200705550329255,26242376,0.23435446848541863,22781667,0.0715741768579492,22719761,0.06866232361241768,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i14,reduce_scatter,8,8388608,44430000,47250144,0.06347386900742741,43289841,0.02566191762322755,43671667,0.017068039612874186,43658352,0.0173677245104659,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i16,reduce_scatter,8,33554432,111150000,112937190,0.016079082321187585,123737969,0.11325208277103013,118028334,0.061883346828609985,117950646,0.061184399460188936,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i18,reduce_scatter,8,134217728,376840000,374669068,0.005760885256342214,381022135,0.011097906273219403,378678334,0.0048782878675299865,378651694,0.004807594735166118,True,geometric-symmetric-operation-anchor
half/reduce_scatter/r8/i20,reduce_scatter,8,536870912,1394160000,1421596581,0.019679650111895333,1366609405,0.019761429821541287,1396293334,0.0015301930911803523,1396287451,0.0015259733459574223,True,geometric-symmetric-operation-anchor
