bytes_per_sender,messages_per_sender,message_bytes,goodput_gbps,steady_goodput_gbps,steady_window_us,payload_wire_gbps,offered_wire_gbps,wire_fraction_low_pct,wire_fraction_high_pct,makespan_us,offered_packets,rtx_packets,dropped_packets,loss_rate,share_low_pct,share_high_pct,silent_rtos,rto_stall_share_pct,ecn_marked_packets,shared_pool_dropped_packets,bytes_conserved
1073741824,32,33554432,51.7976,80.7059,197455.13,52.6199,148.8635,54.247,100.0,331672.858,1506774,974102,834323,0.553715,50.0,50.0,120,37.938,245704,834323,True
1073741824,1,1073741824,88.1247,88.1588,60731.802,89.5235,89.5238,92.292,92.293,194949.53,532612,0,0,0.0,50.0,50.0,0,0.0,5577,0,True
4294967296,32,134217728,24.0903,23.6271,2718364.095,24.4727,465.0035,25.23,100.0,2852581.823,40480363,38349867,8013802,0.197968,50.0,50.0,1394,51.242,8533714,8013802,True
4294967296,1,4294967296,88.2342,88.2883,644612.84,89.6347,89.6348,92.407,92.407,778830.568,2130442,0,0,0.0,50.0,50.0,0,0.0,24616,0,True
