anchor_id,source_run,layer,published_tokens_per_second_per_node,prediction_fraction,prediction_tokens_per_second_per_node,lower_fraction,upper_fraction,signed_relative_error_fraction,signed_error_percent,status
sglang_prefill_2k,run3-carried,physics_only,54543.000000000,3276800000000000/57154494009,57332.324549737,3276800000000000/57154494067,3276800000000000/57154494009,159422433267113/3117377566732887,5.113991804,REFUTED
sglang_prefill_2k,run3-carried,physics_plus_boundary,54543.000000000,3276800000000000/57154494009,57332.324549737,3276800000000000/74908202467,3276800000000000/57154494009,159422433267113/3117377566732887,5.113991804,REFUTED
sglang_prefill_2k,run3-carried,physics_plus_boundary_plus_attenuation,54543.000000000,3079182591456051200000000/59126568730699352529,52077.816412460,1857310975704731648/46817626541875,1863290581979942912/35721558755625,-145757846822483584989247/3224940438278534784989247,-4.519706631,PASS
sglang_prefill_4k,run3-carried,physics_only,50302.000000000,3276800000000000/57154494009,57332.324549737,3276800000000000/57154494067,3276800000000000/57154494009,200907321179641/1437492678820359,13.976232654,REFUTED
sglang_prefill_4k,run3-carried,physics_plus_boundary,50302.000000000,3276800000000000/57154494009,57332.324549737,26214400000000000/616749291811,3276800000000000/57154494009,200907321179641/1437492678820359,13.976232654,REFUTED
sglang_prefill_4k,run3-carried,physics_plus_boundary_plus_attenuation,50302.000000000,3079182591456051200000000/59126568730699352529,52077.816412460,14858487805637853184/385468307381875,1863290581979942912/35721558755625,52498965582206184543121/1487092330145819415456879,3.530309754,PASS
sglang_decode_simulated_mtp,run4,physics_only,17373.000000000,1024000000000/124071011,8253.338082334,1024000000000/124071011,1024000000000/124071011,-1131485674103/2155485674103,-52.493305230,REFUTED
sglang_decode_simulated_mtp,run4,physics_plus_boundary,17373.000000000,1024000000000/124071011,8253.338082334,1024000000000/124071011,1024000000000/124071011,-1131485674103/2155485674103,-52.493305230,REFUTED
sglang_decode_simulated_mtp,run4,physics_plus_boundary_plus_attenuation,17373.000000000,1024000000000/124071011,8253.338082334,1024000000000/124071011,1024000000000/124071011,-1131485674103/2155485674103,-52.493305230,REFUTED
