operation,ranks,operation_buffer_bytes,measured_ps,predicted_ps,signed_relative_error,absolute_relative_error,measured_normalized_efficiency,predicted_normalized_efficiency,floor_fraction_absolute_difference,donor_regime_index
all_gather,8,512,91136001,256299852.50304514,1.8122788984678528,1.8122788984678528,4.915730283140249e-05,1.7479526251177895e-05,0.0059354763414402045,0
all_gather,8,2048,100351997,256492480.6848001,1.5559280169063312,1.5559280169063312,0.0001785714339097806,6.986559587304873e-05,0.023291825227490293,0
all_gather,8,8192,110592000,257262993.41181982,1.3262351111456507,1.3262351111456507,0.0006481481481481481,0.00027862538272364944,0.08657846492639165,0
all_gather,8,32768,138239995,260345044.31989878,0.88328308547681,0.88328308547681,0.0020740741490912237,0.0011013076924471549,0.26909640378590927,0
all_gather,8,65536,178176001,264454445.5306707,0.48423156904655584,0.48423156904655584,0.003218390786534714,0.0021683885814409347,0.4123571011621361,0
all_gather,8,131072,241664007,272673247.9522146,0.1283155126705095,0.1283155126705095,0.004745762574399422,0.004206059848603073,0.5541335597436237,0
all_gather,8,196608,392192006,247220687.45452452,-0.36964373655661786,0.36964373655661786,0.004386422909395048,0.00695864095239379,0.06351063979748683,1
all_gather,8,262144,503808022,249241490.37189686,-0.5052847920474421,0.5052847920474421,0.004552845329644235,0.009202962141565785,0.08159978818030711,1
all_gather,8,393216,585727990,253283096.20664153,-0.5675755631779837,0.5675755631779837,0.005874125974413481,0.013584167485037955,0.11394966716148935,1
all_gather,8,524288,604160011,257324702.04138616,-0.5740785597254862,0.5740785597254862,0.007593220200732551,0.01782774822473972,0.14189287855956345,1
all_gather,8,655360,672767997,261366307.87613082,-0.6115060332215374,0.6115060332215374,0.008523592123244233,0.0219400887841967,0.16612141362790234,1
all_gather,8,786432,699392021,265407913.71087548,-0.6205162401890263,0.6205162401890263,0.009838945531807832,0.025927184701418454,0.18719594690136943,1
all_gather,8,917504,743423998,269449519.54562014,-0.6375560645466005,0.6375560645466005,0.010798898100677133,0.029794671794323845,0.20557516831894596,1
all_gather,8,1048576,781311989,273491125.3803648,-0.6499591338276971,0.6499591338276971,0.011743119431385047,0.03354785274015593,0.22163762164413314,1
all_gather,8,1179648,843775988,277532731.21510947,-0.6710824494153423,0.6710824494153423,0.012233009882713088,0.037191721332500094,0.23569818850130375,1
all_gather,8,1310720,659456015,281574337.0498541,-0.5730202915051823,0.5730202915051823,0.01739130395224312,0.04073098464924875,0.24802068703036007,1
all_gather,8,1572864,632831991,289657548.7193434,-0.5422836505758392,0.5422836505758392,0.02174757312482327,0.047513210205803735,0.2683077385359405,1
all_gather,8,2097152,702463984,369747822.6087434,-0.4736415944013104,0.4736415944013104,0.026122449574582034,0.04962863572943209,0.3828709976465692,2
all_gather,8,3145728,934912026,384894570.64548326,-0.5883093168752508,0.5883093168752508,0.029441401152754024,0.07151340158900994,0.4476676136488278,2
all_gather,8,4194304,1102848053,400041318.6822231,-0.6372652446599341,0.6372652446599341,0.03327762142769091,0.09174092346484126,0.4831751251426494,2
all_gather,8,8388608,1654783964,460628310.8291823,-0.7216384006310189,0.7216384006310189,0.0443564366085433,0.15934826035306263,0.5134168633819713,2
all_gather,8,16777216,3050496101,581802295.1231009,-0.8092761715275175,0.8092761715275175,0.04812352979303152,0.25232048967585996,0.4576307318828158,2
all_gather,8,33554432,5967872143,824150263.7109381,-0.8619021580953903,0.8619021580953903,0.04919697891724756,0.35624726815955676,0.3447493409899274,2
all_gather,8,67108864,11149312019,1308846200.8866124,-0.882607447109189,0.882607447109189,0.052667156412819376,0.4486413755888423,0.22462062543950076,2
reduce_scatter,8,512,81919998,230330534.86790887,1.8116521056056283,1.8116521056056283,5.468750133514407e-05,1.945030867300861e-05,0.0025488511588634966,0
reduce_scatter,8,2048,94208002,230380342.94517973,1.4454434660994055,1.4454434660994055,0.00019021738726610505,7.778441411672073e-05,0.01011367856828671,0
reduce_scatter,8,8192,98304003,230579575.25426316,1.3455766623691119,1.3455766623691119,0.0007291666444142666,0.0003108688179382649,0.039196596913106174,0
reduce_scatter,8,32768,133120000,231376504.49059698,0.7381047512815277,0.7381047512815277,0.0021538461538461538,0.0012391923744861145,0.1393755208119175,0
reduce_scatter,8,65536,153600007,232439076.8057087,0.5132751706561361,0.5132751706561361,0.003733333163194452,0.002467055057525148,0.2425564169068415,0
reduce_scatter,8,131072,240640000,234564221.4359322,-0.025248414910521155,0.025248414910521155,0.004765957446808511,0.004889407229197799,0.38405211005523665,0
reduce_scatter,8,196608,330751985,236689366.06615564,-0.28439018720883674,0.28439018720883674,0.005201238625975291,0.007268260626120244,0.4753246351877014,0
reduce_scatter,8,262144,410623997,238814510.69637913,-0.4184107299107043,0.4184107299107043,0.0055860349535295185,0.009604776499181036,0.5380466146221492,0
reduce_scatter,8,393216,470016003,243064799.95682606,-0.4828584592750003,0.4828584592750003,0.007320261391185015,0.014155237618162472,0.6162142627618888,0
reduce_scatter,8,524288,525312006,247315089.217273,-0.5292034326409951,0.5292034326409951,0.008732943370039785,0.018549292784839907,0.6603196051721618,0
