architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,2,786432,5,100,0,0,49.5103979111,49.5001602173,49.5616006851
a100,event,2,786432,5,100,0,1,50.1350402832,50.1145601273,50.2067184448
a100,event,2,786432,5,100,1,0,49.6435213089,49.5718383789,49.6947193146
a100,event,2,786432,5,100,1,1,50.196480751,50.124797821,50.2067184448
a100,event,2,786432,20,20,0,0,51.2000024319,50.790399313,51.2512028217
a100,event,2,786432,20,20,0,1,51.6095995903,51.5583992004,51.6095995903
a100,event,2,786432,20,20,1,0,51.148802042,51.0464012623,51.148802042
a100,event,2,786432,20,20,1,1,51.8656015396,51.8656015396,51.9168019295
a100,event,2,786432,20,100,0,0,49.530878067,49.3260812759,49.6127986908
a100,event,2,786432,20,100,0,1,50.0838422775,49.9814414978,50.145277977
a100,event,2,786432,20,100,1,0,49.3875217438,49.3670415878,49.5103979111
a100,event,2,786432,20,100,1,1,50.1350402832,50.0838422775,50.1555204391
a100,event,2,1048576,5,20,0,0,53.0943989754,53.0943989754,53.4528017044
a100,event,2,1048576,5,20,0,1,53.9135992527,53.7599980831,54.169601202
a100,event,2,1048576,5,20,1,0,53.606402874,53.5552024841,53.7599980831
a100,event,2,1048576,5,20,1,1,53.9135992527,53.7599980831,54.169601202
a100,event,2,1048576,5,100,0,0,52.1625614166,52.1011209488,52.1830415726
a100,event,2,1048576,5,100,0,1,52.7360010147,52.5824022293,52.7462387085
a100,event,2,1048576,5,100,1,0,52.2240018845,52.0499181747,52.2649621964
a100,event,2,1048576,5,100,1,1,52.8179216385,52.7974414825,52.9715204239
a100,event,2,1048576,20,20,0,0,52.0192027092,52.0192027092,52.1727979183
a100,event,2,1048576,20,20,0,1,52.9919981956,52.8383970261,53.0431985855
a100,event,2,1048576,20,20,1,0,52.3263990879,52.2239983082,52.3263990879
a100,event,2,1048576,20,20,1,1,52.8383970261,52.6336014271,53.0943989754
a100,event,2,1048576,20,100,0,0,52.1113586426,51.9782400131,52.2342395782
a100,event,2,1048576,20,100,0,1,53.1251192093,53.0227184296,53.1865596771
a100,event,2,1048576,20,100,1,0,52.1318387985,52.0806407928,52.1625614166
a100,event,2,1048576,20,100,1,1,52.8076791763,52.7462387085,52.9817581177
a100,event,2,1310720,5,20,0,0,56.5760016441,56.4736008644,56.627202034
a100,event,2,1310720,5,20,0,1,57.3952019215,57.1391999722,57.5487971306
a100,event,2,1310720,5,20,1,0,56.627202034,56.268799305,57.190400362
