sweep,operation,direction,service_class,config_version,transaction_abi_version,result_version,requested_transactions,accounted_transactions,bytes,useful_bytes,offset,submitted_at_ps,path_id,path_endpoint,ordering_domain,visibility_dependency,generation,lanes,mps,mrrs,rcb,posted_write_overhead_bytes,read_request_overhead_bytes,completion_overhead_bytes,data_credit_unit_bytes,max_tlps_per_transaction,h2d_posted_header_credits,h2d_posted_data_credits,h2d_nonposted_header_credits,h2d_nonposted_data_credits,h2d_completion_header_credits,h2d_completion_data_credits,d2h_posted_header_credits,d2h_posted_data_credits,d2h_nonposted_header_credits,d2h_nonposted_data_credits,d2h_completion_header_credits,d2h_completion_data_credits,outstanding_reads,completion_buffer_bytes,credit_return_ps,completion_buffer_release_ps,host_store_latency_ps,posted_visibility_ps,read_completion_ps,base_path_ps,numa_ps,iommu_ps,acs_ps,switch_ps,ddio_ps,gpu_direct_ps,request_tlps,completion_tlps,accounted_useful_bytes,accounted_transferred_bytes,host_store_bytes,h2d_tlps,h2d_payload_bytes,h2d_overhead_bytes,h2d_link_bytes,d2h_tlps,d2h_payload_bytes,d2h_overhead_bytes,d2h_link_bytes,ordering_wait_ps,outstanding_wait_ps,completion_buffer_wait_ps,credit_wait_ps,link_queue_wait_ps,base_path_attributed_ps,numa_attributed_ps,iommu_attributed_ps,acs_attributed_ps,switch_attributed_ps,ddio_attributed_ps,gpu_direct_attributed_ps,host_store_service_ps,posted_visibility_service_ps,read_completion_service_ps,latency_samples,first_issue_ps,jct_ps,expected_request_tlps,expected_completion_tlps,expected_link_bytes,expected_jct_ps,expected_outstanding_wait_ps,expected_numa_ps,expected_iommu_ps,check
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,4,8,256,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4096,4096,0,0,0,0,0,16,4096,384,4480,0,0,0,0,2132820,0,0,0,0,0,0,0,0,0,0,16,0,284375,16,0,4480,284375,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,4,8,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4096,4096,0,0,0,0,0,8,4096,192,4288,0,0,0,0,952660,0,0,0,0,0,0,0,0,0,0,8,0,272188,8,0,4288,272188,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,4,16,128,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4096,4096,0,0,0,0,0,32,4096,768,4864,0,0,0,0,2392828,0,0,0,0,0,0,0,0,0,0,32,0,154375,32,0,4864,154375,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,4,16,256,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4096,4096,0,0,0,0,0,16,4096,384,4480,0,0,0,0,1066414,0,0,0,0,0,0,0,0,0,0,16,0,142188,16,0,4480,142188,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,4,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4096,4096,0,0,0,0,0,8,4096,192,4288,0,0,0,0,476332,0,0,0,0,0,0,0,0,0,0,8,0,136094,8,0,4288,136094,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,8,128,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4096,4096,0,0,0,0,0,32,4096,768,4864,0,0,0,0,2392828,0,0,0,0,0,0,0,0,0,0,32,0,154375,32,0,4864,154375,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,8,256,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4096,4096,0,0,0,0,0,16,4096,384,4480,0,0,0,0,1066414,0,0,0,0,0,0,0,0,0,0,16,0,142188,16,0,4480,142188,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,8,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4096,4096,0,0,0,0,0,8,4096,192,4288,0,0,0,0,476332,0,0,0,0,0,0,0,0,0,0,8,0,136094,8,0,4288,136094,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,16,128,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4096,4096,0,0,0,0,0,32,4096,768,4864,0,0,0,0,1196422,0,0,0,0,0,0,0,0,0,0,32,0,77188,32,0,4864,77188,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,16,256,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4096,4096,0,0,0,0,0,16,4096,384,4480,0,0,0,0,533211,0,0,0,0,0,0,0,0,0,0,16,0,71094,16,0,4480,71094,0,0,0,PASS
generation_width_mps,posted_write,device_to_host,payload_write,1,1,1,1,1,4096,4096,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4096,4096,0,0,0,0,0,8,4096,192,4288,0,0,0,0,238168,0,0,0,0,0,0,0,0,0,0,8,0,68047,8,0,4288,68047,0,0,0,PASS
read_window,nonposted_read,device_to_host,payload_read,1,1,1,16,16,512,512,0,0,2,host_pinned_memory,1,0,5,16,128,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,1,65536,0,0,0,0,1000000,0,0,0,0,0,0,0,16,64,8192,8192,0,64,8192,1280,9472,16,0,384,384,0,15140925,0,0,106257683,0,0,0,0,0,0,0,0,0,16000000,16,0,16156416,16,64,9856,16156416,15140925,0,0,PASS
read_window,nonposted_read,device_to_host,payload_read,1,1,1,16,16,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,1,65536,0,0,0,0,1000000,0,0,0,0,0,0,0,16,16,8192,8192,0,16,8192,320,8512,16,0,384,384,0,15126645,0,0,105932235,0,0,0,0,0,0,0,0,0,16000000,16,0,16141184,16,16,8896,16141184,15126645,0,0,PASS
read_window,nonposted_read,device_to_host,payload_read,1,1,1,16,16,512,512,0,0,2,host_pinned_memory,1,0,5,16,128,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,4,65536,0,0,0,0,1000000,0,0,0,0,0,0,0,16,64,8192,8192,0,64,8192,1280,9472,16,0,384,384,0,3051798,0,0,21796041,0,0,0,0,0,0,0,0,0,16000000,16,0,4067289,16,64,9856,4067289,3051798,0,0,PASS
read_window,nonposted_read,device_to_host,payload_read,1,1,1,16,16,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,4,65536,0,0,0,0,1000000,0,0,0,0,0,0,0,16,16,8192,8192,0,16,8192,320,8512,16,0,384,384,0,3046084,0,0,21368316,0,0,0,0,0,0,0,0,0,16000000,16,0,4060623,16,16,8896,4060623,3046084,0,0,PASS
path_attribution,nonposted_read,device_to_host,payload_read,1,1,1,1,1,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,0,0,0,0,0,1,1,512,512,0,1,512,20,532,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8824,1,1,556,8824,0,0,0,PASS
path_attribution,nonposted_read,device_to_host,payload_read,1,1,1,1,1,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,100000,0,0,0,0,0,1,1,512,512,0,1,512,20,532,1,0,24,24,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,1,0,108824,1,1,556,108824,0,100000,0,PASS
path_attribution,nonposted_read,device_to_host,payload_read,1,1,1,1,1,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,0,200000,0,0,0,0,1,1,512,512,0,1,512,20,532,1,0,24,24,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,1,0,208824,1,1,556,208824,0,0,200000,PASS
path_attribution,nonposted_read,device_to_host,payload_read,1,1,1,1,1,512,512,0,0,2,host_pinned_memory,1,0,5,16,512,512,64,24,24,20,16,1000000,64,4096,64,1,64,4096,64,4096,64,1,64,4096,64,65536,0,0,0,0,0,0,100000,200000,0,0,0,0,1,1,512,512,0,1,512,20,532,1,0,24,24,0,0,0,0,0,0,100000,200000,0,0,0,0,0,0,0,1,0,308824,1,1,556,308824,0,100000,200000,PASS
