series,configuration_id,candidate_key,batch_per_gpu,point_class,step_ps,analytical_step_ps,x_numerator,x_denominator,y_numerator,y_denominator,kernel_floor_ps,fabric_floor_ps,intra_floor_ps,fabric_excess_ps,intra_excess_ps,stamp_schema
bandwidth_200_gbit,h100-two-node-serialized,0e20f8de127215fe131b66d01c5da0c703d3f1dfd8cb2c2ff71883f1a162815a,4,ESTIMATE,8360841504,8360841504,31250000000,261276297,125000000000,261276297,8360841504,1064304640,266076160,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-two-node-serialized,0e20f8de127215fe131b66d01c5da0c703d3f1dfd8cb2c2ff71883f1a162815a,8,ESTIMATE,8528655235,8528655235,200000000000,1705731047,1600000000000,1705731047,8528655235,2128609280,532152320,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-two-node-serialized,0e20f8de127215fe131b66d01c5da0c703d3f1dfd8cb2c2ff71883f1a162815a,16,ESTIMATE,8864282698,8864282698,500000000000,4432141349,8000000000000,4432141349,8864282698,4257218560,1064304640,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-two-node-serialized,0e20f8de127215fe131b66d01c5da0c703d3f1dfd8cb2c2ff71883f1a162815a,32,ESTIMATE,9535537623,9535537623,1000000000000,9535537623,32000000000000,9535537623,9535537623,8514437120,2128609280,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,1,ESTIMATE,8234981205,8234981205,200000000000,1646996241,200000000000,1646996241,8234981205,59128040,14782000,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,2,ESTIMATE,8276934638,8276934638,500000000000,4138467319,1000000000000,4138467319,8276934638,118256080,29564010,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,4,ESTIMATE,8360841504,8360841504,31250000000,261276297,125000000000,261276297,8360841504,236512160,59128030,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,8,ESTIMATE,8528655235,8528655235,200000000000,1705731047,1600000000000,1705731047,8528655235,473024320,118256070,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,16,ESTIMATE,8864282698,8864282698,500000000000,4432141349,8000000000000,4432141349,8864282698,946048600,236512140,0,0,simllm-deployment-estimate-v1
bandwidth_200_gbit,h100-nine-node-incast,19ea9ff55f6c8e95ff92fce9695b3d3b64eab58229a9b5e0fa471775014926ce,32,ESTIMATE,9535537623,9535537623,1000000000000,9535537623,32000000000000,9535537623,9535537623,1892097160,473024280,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,1,ESTIMATE,3448398380,3448398380,50000000000,172419919,50000000000,172419919,3448398380,0,133038080,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,2,ESTIMATE,3465966380,3465966380,50000000000,173298319,100000000000,173298319,3465966380,0,266076160,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,4,ESTIMATE,3501102380,3501102380,50000000000,175055119,200000000000,175055119,3501102380,0,532152320,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,8,ESTIMATE,3571374380,3571374380,50000000000,178568719,400000000000,178568719,3571374380,0,1064304640,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,16,ESTIMATE,3711918380,3711918380,50000000000,185595919,800000000000,185595919,3711918380,0,2128609280,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,b100-one-node-intra,be04a0cdcab54bdc67e6ca4d06ed0ed330ef69e64041a1fb92a1b0e04c02f44a,32,ESTIMATE,4257218560,4257218560,48828125,207872,48828125,6496,3993006379,0,4257218560,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,1,ESTIMATE,8234981205,8234981205,200000000000,1646996241,200000000000,1646996241,8234981205,532152320,66519040,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,2,ESTIMATE,8276934638,8276934638,500000000000,4138467319,1000000000000,4138467319,8276934638,1064304640,133038080,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,4,ESTIMATE,8360841504,8360841504,31250000000,261276297,125000000000,261276297,8360841504,2128609280,266076160,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,8,ESTIMATE,8528655235,8528655235,200000000000,1705731047,1600000000000,1705731047,8528655235,4257218560,532152320,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,16,ESTIMATE,8864282698,8864282698,500000000000,4432141349,8000000000000,4432141349,8864282698,8514437120,1064304640,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-two-node-serialized,25eba7610b28c75728e03d38c872ad3b215a243ce796c23821bcf3eb3aabfa10,32,ESTIMATE,17028874240,17028874240,48828125,831488,48828125,25984,9535537623,17028874240,2128609280,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,1,ESTIMATE,8234981205,8234981205,200000000000,1646996241,200000000000,1646996241,8234981205,118256080,14782000,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,2,ESTIMATE,8276934638,8276934638,500000000000,4138467319,1000000000000,4138467319,8276934638,236512160,29564010,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,4,ESTIMATE,8360841504,8360841504,31250000000,261276297,125000000000,261276297,8360841504,473024320,59128030,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,8,ESTIMATE,8528655235,8528655235,200000000000,1705731047,1600000000000,1705731047,8528655235,946048640,118256070,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,16,ESTIMATE,8864282698,8864282698,500000000000,4432141349,8000000000000,4432141349,8864282698,1892097200,236512140,0,0,simllm-deployment-estimate-v1
bandwidth_100_gbit,h100-nine-node-incast,f468915f8ab86c419749a0462b66195f5d17d7375e084eb029e85a4429360f8d,32,ESTIMATE,9535537623,9535537623,1000000000000,9535537623,32000000000000,9535537623,9535537623,3784194320,473024280,0,0,simllm-deployment-estimate-v1
